County,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
2019,,,,,
Brant,40600.0,39800.0,152.08542713567837,6052.999999999999,153.7543182280024
Chatham-Kent,191400.0,187800.0,186.92758253461128,35105.0,891.7140825035561
Elgin,140400.0,137800.0,173.78809869375908,23948.0,608.3113188376346
Essex,40600.0,39800.0,166.8844221105528,6642.000000000001,168.71570818939242
Haldimand-Norfolk,72300.0,70900.0,172.8,12251.52,311.20503962609223
Hamilton,17200.0,16900.0,160.0,2704.0,68.68522657996341
Lambton,96300.0,94500.0,151.94999999999996,14359.274999999998,364.74484352773817
Middlesex,207100.0,203200.0,175.0,35560.0,903.2716927453769
Niagara,19100.0,18700.0,159.0,2973.3,75.52580776264986
Oxford,135400.0,132900.0,180.0,23922.0,607.6508839666734
Southern Ontario,960400.0,942300.0,173.53082351692663,163518.09499999997,4153.578921967079
Bruce,65800.0,64200.0,143.86894000000004,9236.385948000001,234.61659083519612
Dufferin,17100.0,16700.0,136.57423,2280.789641,57.93511585551716
Grey,50700.0,49400.0,129.37665,6391.206510000001,162.3452171814672
Halton,10400.0,10100.0,163.66798,1653.046598,41.98960064011379
Huron,199200.0,194300.0,163.10000000000002,31690.33,804.9768847795164
Peel,12700.0,12400.0,150.25097000000002,1863.112028,47.32554429993903
Perth,119500.0,116600.0,176.10295000000002,20533.60397,521.5810803190408
Simcoe,76900.0,75000.0,116.50678999999998,8738.00925,221.95715428774636
Waterloo,39500.0,38500.0,167.09826000000004,6433.283010000001,163.41401671408252
Wellington,89200.0,87000.0,152.32448000000002,13252.22976,336.6244096728307
Western Ontario,681000.0,664200.0,153.67659848690158,102071.99671500002,2592.7656145854503
Durham,64300.0,63800.0,123.82445141065828,7899.999999999999,200.67059540743747
Haliburton,0.0,0.0,0.0,0.0,0.0
Hastings,24900.0,24700.0,110.64367000000001,2732.898649,69.41929102316602
Kawartha Lakes,21900.0,21700.0,93.21601900000002,2022.7876123,51.38151829658606
Muskoka,0.0,0.0,0.0,0.0,0.0
Northumberland,34400.0,34100.0,126.09970674486803,4300.0,109.22576712050396
Parry Sound,0.0,0.0,0.0,0.0,0.0
Peterborough,11300.0,11200.0,105.49879999999999,1181.58656,30.013883357041248
Prince Edward,10500.0,10400.0,102.29482000000002,1063.8661280000001,27.023626498679132
York,13600.0,13500.0,133.33333333333337,1800.0000000000002,45.72241414346678
Central Ontario,197600.0,196000.0,127.75510204081633,25040.0,636.0495834180044
Frontenac,8400.0,8000.0,114.125,913.0,23.19142450721398
Lanark,11700.0,11100.0,153.69369369369372,1706.0,43.334688071530174
Leeds and Grenville,26100.0,24800.0,145.32258064516128,3604.0,91.5464336516968
Lennox and Addington,9900.0,9400.0,119.46808510638297,1123.0,28.525706157285104
Ottawa,57300.0,54300.0,146.46408839779005,7953.0,202.01686649055068
Prescott and Russell,80200.0,76100.0,144.66491458607095,11009.0,279.6433651696809
Renfrew,23600.0,22400.0,93.13999999999999,2086.336,52.995732574679934
"Stormont, Dundas and Glengarry",141900.0,134600.0,153.0,20593.8,523.1101402154034
Eastern Ontario,359100.0,340700.0,143.78672145582624,48988.136,1244.364356838041
Algoma,0.0,0.0,0.0,0.0,0.0
Cochrane,0.0,0.0,0.0,0.0,0.0
Greater Sudbury,0.0,0.0,0.0,0.0,0.0
Kenora,0.0,0.0,0.0,0.0,0.0
Manitoulin,0.0,0.0,0.0,0.0,0.0
Nipissing,0.0,0.0,0.0,0.0,0.0
Rainy River,2300.0,2300.0,116.52173913043478,268.0,6.8075594391383865
Sudbury,0.0,0.0,0.0,0.0,0.0
Thunder Bay,0.0,0.0,0.0,0.0,0.0
Timiskaming,200.0,200.0,94.635066,18.927013199999998,0.4807715200162568
Northern Ontario,4400.0,4300.0,126.97674418604652,546.0,13.869132290184922
Ontario,2202500.0,2147500.0,158.39964037951106,340163.227715,8640.602207757569
,,,,,
2018,Acres seeded ,Acres harvested,Yield (bushels/ac),Production ('000 bushels),Production ('000 tonnes)
Brant,45500,43700,158.51258581235697,6927,175.95509042877464
Chatham-Kent,173500,166500,180.24024024024024,30010,762.2942491363543
