County,Acres seeded,Acres harvested ,Yield (bushels/acre),Production ('000 bu),Production ('000 tonnes)
2019,,,,,
Brant,44500.0,44210.0,47.186365,2086.10919665,56.77414534753973
Chatham-Kent,308300.0,306300.0,51.0,15621.3,425.13879817112996
Elgin,150700.0,149720.0,48.089767566123435,7200.000000000001,195.9503592423253
Essex,236100.0,234570.0,47.7479589879138,11200.23873979494,304.8181673142538
Haldimand-Norfolk,118500.0,117730.0,48.4158668138962,5700.0,155.12736773350753
Hamilton,31000.0,30800.0,44.0,1355.2,36.88221206183323
Lambton,335500.0,333320.0,43.34,14446.088800000001,393.155040278685
Middlesex,244100.0,242510.0,48.96466,11874.419696600002,323.1662229642935
Niagara,56600.0,56230.0,43.0,2417.89,65.80366862617025
Oxford,105200.0,104520.0,53.5803130621149,5600.214321252249,152.41166778936014
Southern Ontario,1630500.0,1619910.0,47.842459411074756,77501.4607542972,2109.2276495290985
Bruce,101700.0,101440.0,39.0,3956.16,107.66819072501633
Dufferin,21400.0,21350.0,38.8,828.3799999999999,22.54463313738297
Grey,49700.0,49580.0,35.885431,1779.1996689799998,48.42150198617461
Halton,18000.0,17960.0,35.0,628.6,17.1075549749619
Huron,224800.0,224230.0,44.0,9866.12,268.50968865665146
Peel,23600.0,23540.0,38.0,894.52,24.34465490964511
Perth,134600.0,134260.0,49.97,6708.9722,182.5868767689963
Simcoe,121000.0,120700.0,33.0,3983.1,108.4013716525147
Waterloo,33700.0,33620.0,48.0,1613.76,43.91900718484651
Wellington,103400.0,103140.0,45.0,4641.3,126.31450032658394
Western Ontario,831900.0,829820.0,42.0574484454219,34900.11186898,949.8179803227738
Durham,53700.0,52560.0,32.343987823439875,1699.9999999999998,46.266057043326796
Haliburton,0.0,0.0,0.0,0.0,0.0
Hastings,29800.0,29170.0,27.42825796276614,800.0822847738883,21.774501545119975
Kawartha Lakes,35200.0,34450.0,24.4,840.58,22.876660134988025
Muskoka,0.0,0.0,0.0,0.0,0.0
Northumberland,41500.0,40620.0,36.92853098303749,1500.036928530983,40.823996530888934
Parry Sound,0.0,0.0,0.0,0.0,0.0
Peterborough,14100.0,13800.0,28.9,398.82,10.854016982364467
Prince Edward,19100.0,18700.0,26.745119015779622,500.13372559507894,13.611303222160869
York,16600.0,16250.0,34.40423436730675,559.0688084687347,15.215240813976015
Central Ontario,221400.0,216700.0,31.25980618366405,6774.0,184.35662965382105
Frontenac,14200.0,13950.0,28.0,390.6,10.630306988896146
Lanark,11900.0,11600.0,34.0,394.4,10.733725234051818
Leeds and Grenville,33600.0,33000.0,33.46,1104.18,30.050620509470935
Lennox and Addington,12800.0,12580.0,28.9,363.562,9.89445895928587
Ottawa,66400.0,65240.0,45.0,2935.8,79.89875898105814
Prescott and Russell,109500.0,107590.0,39.0,4196.01,114.1957870672763
Renfrew,28000.0,27510.0,31.5,866.565,23.583850424559113
