Year,Area Planted (acres),Harvested (tons)
1998-1999,22239.4843320453,30000
1999-2000,32123.699590732096,43700
2000-2001,26934.48657992153,44800
2001-2002,23475.011239381147,44600
2002-2003,25946.065054052848,50500
2003-2004,49421.076293433995,81600
2004-2005,42007.9148494189,87900
2005-2006,32123.699590732096,70400
2006-2007,39536.8610347472,82600
2007-2008,39536.8610347472,85000
2008-2009,39536.8610347472,92400
2009-2010,40525.28256061588,80500
2010-2011,37065.8072200755,68100
2011-2012,42007.9148494189,92756
2012-2013,46208.70633436079,108500
2013-2014,45714.49557142644,111350
2014-2015,41019.49332355022,99600
2015-2016,34594.7534054038,76000
2016-2017,34347.64802393663,97300
2017-2018,35830.28031273965,93200
2018-2019,34594.7534054038,92750
