Year,Area Planted (acres),Harvested (tons)
1998-1999,2574838.0748879113,2631000
1999-2000,2965264.5776060396,3862500
2000-2001,2409277.469304907,2596000
2001-2002,2634143.366440032,3217000
2002-2003,2755225.0033589453,3336500
2003-2004,2495764.352818417,3100000
2004-2005,2582251.236331926,4113000
2005-2006,1322013.7908493595,2080000
2006-2007,2520474.890965134,2855000
2007-2008,2891132.9631658886,4928000
2008-2009,2359856.393011473,4527250
2009-2010,2856538.209760485,5076000
2010-2011,2446343.276524983,4051500
2011-2012,2866422.425019172,4823000
2012-2013,3039396.1920461906,4884800
2013-2014,2952909.3085326813,6247250
2014-2015,3014685.6538994736,3944500
2015-2016,1729737.6702701899,2213500
2016-2017,2866422.425019172,7362000
2017-2018,2604490.7206639717,5275000
2018-2019,2545185.429111851,4553000
