Year,Area Planted (acres),Harvested (tons)
1998-1999,296526.457760604,329000
1999-2000,296526.457760604,419000
2000-2001,274286.9734285587,322000
2001-2002,312588.30755597004,483500
2002-2003,312588.30755597004,418500
2003-2004,332356.73807334364,482500
2004-2005,286642.2425019172,483000
2005-2006,172973.767027019,325000
2006-2007,234750.1123938115,254000
2007-2008,286642.2425019172,568000
2008-2009,244634.3276524983,534300
2009-2010,308881.7268339625,685000
2010-2011,284171.1886872455,542800
2011-2012,286642.2425019172,578500
2012-2013,290348.82322392473,600000
2013-2014,291584.3501312606,648400
2014-2015,269344.8657992153,486100
2015-2016,259460.65054052847,442000
2016-2017,296526.457760604,804000
2017-2018,276758.0272432304,631500
2018-2019,266873.8119845436,607200
