Year,Area Planted (acres),Harvested (tons)
1998-1999,217452.73569110958,222000
1999-2000,197684.30517373598,264000
2000-2001,176680.34774902655,247200
2001-2002,203861.93971041523,402500
2002-2003,210039.57424709448,385100
2003-2004,194471.93521466278,390000
2004-2005,200155.35898840768,400000
2005-2006,145792.1750656303,310000
2006-2007,182857.98228570577,359200
2007-2008,205097.46661775108,489000
2008-2009,202626.41280307938,521000
2009-2010,217452.73569110958,524000
2010-2011,200155.35898840768,449500
2011-2012,219923.7895057813,512000
2012-2013,234750.1123938115,599000
2013-2014,217452.73569110958,559100
2014-2015,210039.57424709448,507500
2015-2016,212510.62806176618,522000
2016-2017,247105.38146717,740000
2017-2018,234750.1123938115,660000
2018-2019,244634.3276524983,669600
