Year,Area Planted (acres),Harvested (tons)
1998-1999,91428.99114285289,47000
1999-2000,103784.26021621139,124000
2000-2001,102795.83869034272,88000
2001-2002,108726.36784555479,106500
2002-2003,148263.228880302,162100
2003-2004,99583.4687312695,115000
2004-2005,108726.36784555479,120000
2005-2006,43243.44175675475,57600
2006-2007,138379.0136216152,131200
2007-2008,140850.0674362869,224000
2008-2009,118610.5831042416,246550
2009-2010,109961.89475289064,210000
2010-2011,91428.99114285289,173000
2011-2012,123552.690733585,273500
2012-2013,132201.37908493594,292000
2013-2014,123552.690733585,307000
2014-2015,122317.16382624915,280750
2015-2016,132201.37908493594,310000
2016-2017,158147.4441389888,492000
2017-2018,81544.7758841661,231700
2018-2019,76108.45749188836,200200
