Year,Area Planted (acres),Harvested (tons)
1998-1999,1359079.598069435,1684000
1999-2000,1482632.2888030198,2176500
2000-2001,1294832.1988879708,1467200
2001-2002,1339311.1675520614,2067500
2002-2003,1383790.136216152,1882500
2003-2004,1376376.974772137,2219000
2004-2005,1383790.136216152,2806700
2005-2006,830274.0817296911,1615000
2006-2007,1161395.292895699,1490000
2007-2008,1280005.8759999406,2875000
2008-2009,1178692.6695984008,2870000
2009-2010,1191047.9386717593,2745000
2010-2011,1087263.678455548,2190000
2011-2012,1111974.216602265,2529000
2012-2013,1161395.292895699,3005000
2013-2014,1235526.90733585,2782200
2014-2015,1158924.2390810272,2429300
2015-2016,1210816.369189133,2319000
2016-2017,1210816.369189133,3430500
2017-2018,1186105.831042416,2817000
2018-2019,1193518.992486431,2774800
