Year,Area Planted (acres),Harvested (tons)
1998-1999,56092.921593047584,180000
1999-2000,59305.2915521208,252800
2000-2001,80309.24897683025,318300
2001-2002,129236.1145073299,510500
2002-2003,135660.8544254763,534550
2003-2004,120340.32077451178,510900
2004-2005,123552.690733585,556900
2005-2006,98842.15258686799,443000
2006-2007,120513.2945415388,540700
2007-2008,135907.9598069435,662000
2008-2009,124788.21764092085,633750
2009-2010,130965.85217760009,609000
2010-2011,116139.5292895699,538200
2011-2012,121575.84768184763,617400
2012-2013,131460.06294053444,675300
2013-2014,124046.90149651933,663700
2014-2015,122317.16382624915,679000
2015-2016,132819.14253860386,710000
2016-2017,119846.11001157745,712200
2017-2018,115151.1077637012,669300
2018-2019,115892.42390810272,670250
