Year,Area Planted (acres),Harvested (tons)
1998-1999,2557540.698185209,1585000
1999-2000,2841711.886872455,2990000
2000-2001,2322790.585791398,2133000
2001-2002,2698390.7656214964,2885250
2002-2003,2891132.9631658886,2601000
2003-2004,2352443.2315674582,2568400
2004-2005,2211593.1641311715,2862500
2005-2006,1302245.3603319859,1690000
2006-2007,1902711.437297209,1392000
2007-2008,1927421.975443926,2829000
2008-2009,1717382.4011968314,2574750
2009-2010,1915066.7063705674,2868000
2010-2011,1593829.7104632463,2332500
2011-2012,1890356.1682238504,2664500
2012-2013,1828579.822857058,1613000
2013-2014,1643250.7867566803,2898000
2014-2015,1606184.9795366048,1490000
2015-2016,1087263.678455548,1141000
2016-2017,1556763.9032431708,3160000
2017-2018,1186105.831042416,2098550
2018-2019,1198461.1001157744,1673000
