Year,Area Planted (acres),Harvested (tons)
1998-1999,2471.0538146717,7500
1999-2000,3558.317493127248,8440
2000-2001,3471.830609613738,8640
2001-2002,5139.791934517136,14480
2002-2003,7536.714134748684,20700
2003-2004,5189.213010810569,14600
2004-2005,4942.1076293434,20000
2005-2006,6671.845299613589,27000
2006-2007,5016.239243783551,20300
2007-2008,9884.2152586868,40000
2008-2009,12355.269073358499,50000
2009-2010,6177.634536679249,17500
2010-2011,56834.2377374491,14400
2011-2012,7413.1614440151,30000
2012-2013,8154.477588416609,33000
2013-2014,8648.68835135095,33000
2014-2015,10501.978712354725,38250
2015-2016,11119.74216602265,45000
2016-2017,5436.31839227774,22000
2017-2018,9266.451805018874,33750
2018-2019,9390.004495752459,34200
