Location,Year,Area Planted (acres),Harvested (tonnes)
Eastern Cape,1998-1999,22239.4843320453,30000
Eastern Cape,1999-2000,32123.699590732096,43700
Eastern Cape,2000-2001,26934.48657992153,44800
Eastern Cape,2001-2002,23475.011239381147,44600
Eastern Cape,2002-2003,25946.065054052848,50500
Eastern Cape,2003-2004,49421.076293433995,81600
Eastern Cape,2004-2005,42007.9148494189,87900
Eastern Cape,2005-2006,32123.699590732096,70400
Eastern Cape,2006-2007,39536.8610347472,82600
Eastern Cape,2007-2008,39536.8610347472,85000
Eastern Cape,2008-2009,39536.8610347472,92400
Eastern Cape,2009-2010,40525.28256061588,80500
Eastern Cape,2010-2011,37065.8072200755,68100
Eastern Cape,2011-2012,42007.9148494189,92756
Eastern Cape,2012-2013,46208.70633436079,108500
Eastern Cape,2013-2014,45714.49557142644,111350
Eastern Cape,2014-2015,41019.49332355022,99600
Eastern Cape,2015-2016,34594.7534054038,76000
Eastern Cape,2016-2017,34347.64802393663,97300
Eastern Cape,2017-2018,35830.28031273965,93200
Eastern Cape,2018-2019,34594.7534054038,92750
Free State,1998-1999,2574838.0748879113,2631000
Free State,1999-2000,2965264.5776060396,3862500
Free State,2000-2001,2409277.469304907,2596000
Free State,2001-2002,2634143.366440032,3217000
Free State,2002-2003,2755225.0033589453,3336500
Free State,2003-2004,2495764.352818417,3100000
Free State,2004-2005,2582251.236331926,4113000
Free State,2005-2006,1322013.7908493595,2080000
Free State,2006-2007,2520474.890965134,2855000
Free State,2007-2008,2891132.9631658886,4928000
Free State,2008-2009,2359856.393011473,4527250
Free State,2009-2010,2856538.209760485,5076000
Free State,2010-2011,2446343.276524983,4051500
Free State,2011-2012,2866422.425019172,4823000
Free State,2012-2013,3039396.1920461906,4884800
Free State,2013-2014,2952909.3085326813,6247250
Free State,2014-2015,3014685.6538994736,3944500
Free State,2015-2016,1729737.6702701899,2213500
Free State,2016-2017,2866422.425019172,7362000
Free State,2017-2018,2604490.7206639717,5275000
Free State,2018-2019,2545185.429111851,4553000
Gauteng,1998-1999,296526.457760604,329000
Gauteng,1999-2000,296526.457760604,419000
Gauteng,2000-2001,274286.9734285587,322000
Gauteng,2001-2002,312588.30755597004,483500
Gauteng,2002-2003,312588.30755597004,418500
Gauteng,2003-2004,332356.73807334364,482500
Gauteng,2004-2005,286642.2425019172,483000
Gauteng,2005-2006,172973.767027019,325000
Gauteng,2006-2007,234750.1123938115,254000
Gauteng,2007-2008,286642.2425019172,568000
Gauteng,2008-2009,244634.3276524983,534300
Gauteng,2009-2010,308881.7268339625,685000
Gauteng,2010-2011,284171.1886872455,542800
Gauteng,2011-2012,286642.2425019172,578500
Gauteng,2012-2013,290348.82322392473,600000
Gauteng,2013-2014,291584.3501312606,648400
Gauteng,2014-2015,269344.8657992153,486100
Gauteng,2015-2016,259460.65054052847,442000
Gauteng,2016-2017,296526.457760604,804000
Gauteng,2017-2018,276758.0272432304,631500
Gauteng,2018-2019,266873.8119845436,607200
KwaZulu-Natal,1998-1999,217452.73569110958,222000
KwaZulu-Natal,1999-2000,197684.30517373598,264000
KwaZulu-Natal,2000-2001,176680.34774902655,247200
KwaZulu-Natal,2001-2002,203861.93971041523,402500
KwaZulu-Natal,2002-2003,210039.57424709448,385100
KwaZulu-Natal,2003-2004,194471.93521466278,390000
KwaZulu-Natal,2004-2005,200155.35898840768,400000
KwaZulu-Natal,2005-2006,145792.1750656303,310000
KwaZulu-Natal,2006-2007,182857.98228570577,359200
KwaZulu-Natal,2007-2008,205097.46661775108,489000
KwaZulu-Natal,2008-2009,202626.41280307938,521000
KwaZulu-Natal,2009-2010,217452.73569110958,524000
KwaZulu-Natal,2010-2011,200155.35898840768,449500
KwaZulu-Natal,2011-2012,219923.7895057813,512000
KwaZulu-Natal,2012-2013,234750.1123938115,599000
KwaZulu-Natal,2013-2014,217452.73569110958,559100
KwaZulu-Natal,2014-2015,210039.57424709448,507500
KwaZulu-Natal,2015-2016,212510.62806176618,522000
KwaZulu-Natal,2016-2017,247105.38146717,740000
KwaZulu-Natal,2017-2018,234750.1123938115,660000
KwaZulu-Natal,2018-2019,244634.3276524983,669600
Limpopo,1998-1999,91428.99114285289,47000
Limpopo,1999-2000,103784.26021621139,124000
Limpopo,2000-2001,102795.83869034272,88000
Limpopo,2001-2002,108726.36784555479,106500
Limpopo,2002-2003,148263.228880302,162100
Limpopo,2003-2004,99583.4687312695,115000
Limpopo,2004-2005,108726.36784555479,120000
Limpopo,2005-2006,43243.44175675475,57600
Limpopo,2006-2007,138379.0136216152,131200
Limpopo,2007-2008,140850.0674362869,224000
Limpopo,2008-2009,118610.5831042416,246550
Limpopo,2009-2010,109961.89475289064,210000
Limpopo,2010-2011,91428.99114285289,173000
Limpopo,2011-2012,123552.690733585,273500
Limpopo,2012-2013,132201.37908493594,292000
Limpopo,2013-2014,123552.690733585,307000
Limpopo,2014-2015,122317.16382624915,280750
Limpopo,2015-2016,132201.37908493594,310000
Limpopo,2016-2017,158147.4441389888,492000
Limpopo,2017-2018,81544.7758841661,231700
Limpopo,2018-2019,76108.45749188836,200200
Mpumalanga,1998-1999,1359079.598069435,1684000
Mpumalanga,1999-2000,1482632.2888030198,2176500
Mpumalanga,2000-2001,1294832.1988879708,1467200
Mpumalanga,2001-2002,1339311.1675520614,2067500
Mpumalanga,2002-2003,1383790.136216152,1882500
Mpumalanga,2003-2004,1376376.974772137,2219000
Mpumalanga,2004-2005,1383790.136216152,2806700
Mpumalanga,2005-2006,830274.0817296911,1615000
Mpumalanga,2006-2007,1161395.292895699,1490000
Mpumalanga,2007-2008,1280005.8759999406,2875000
Mpumalanga,2008-2009,1178692.6695984008,2870000
Mpumalanga,2009-2010,1191047.9386717593,2745000
Mpumalanga,2010-2011,1087263.678455548,2190000
Mpumalanga,2011-2012,1111974.216602265,2529000
Mpumalanga,2012-2013,1161395.292895699,3005000
Mpumalanga,2013-2014,1235526.90733585,2782200
Mpumalanga,2014-2015,1158924.2390810272,2429300
Mpumalanga,2015-2016,1210816.369189133,2319000
Mpumalanga,2016-2017,1210816.369189133,3430500
Mpumalanga,2017-2018,1186105.831042416,2817000
Mpumalanga,2018-2019,1193518.992486431,2774800
North-West,1998-1999,2557540.698185209,1585000
North-West,1999-2000,2841711.886872455,2990000
North-West,2000-2001,2322790.585791398,2133000
North-West,2001-2002,2698390.7656214964,2885250
North-West,2002-2003,2891132.9631658886,2601000
North-West,2003-2004,2352443.2315674582,2568400
North-West,2004-2005,2211593.1641311715,2862500
North-West,2005-2006,1302245.3603319859,1690000
North-West,2006-2007,1902711.437297209,1392000
North-West,2007-2008,1927421.975443926,2829000
North-West,2008-2009,1717382.4011968314,2574750
North-West,2009-2010,1915066.7063705674,2868000
North-West,2010-2011,1593829.7104632463,2332500
North-West,2011-2012,1890356.1682238504,2664500
North-West,2012-2013,1828579.822857058,1613000
North-West,2013-2014,1643250.7867566803,2898000
North-West,2014-2015,1606184.9795366048,1490000
North-West,2015-2016,1087263.678455548,1141000
North-West,2016-2017,1556763.9032431708,3160000
North-West,2017-2018,1186105.831042416,2098550
North-West,2018-2019,1198461.1001157744,1673000
Northern Cape,1998-1999,56092.921593047584,180000
Northern Cape,1999-2000,59305.2915521208,252800
Northern Cape,2000-2001,80309.24897683025,318300
Northern Cape,2001-2002,129236.1145073299,510500
Northern Cape,2002-2003,135660.8544254763,534550
Northern Cape,2003-2004,120340.32077451178,510900
Northern Cape,2004-2005,123552.690733585,556900
Northern Cape,2005-2006,98842.15258686799,443000
Northern Cape,2006-2007,120513.2945415388,540700
Northern Cape,2007-2008,135907.9598069435,662000
Northern Cape,2008-2009,124788.21764092085,633750
Northern Cape,2009-2010,130965.85217760009,609000
Northern Cape,2010-2011,116139.5292895699,538200
Northern Cape,2011-2012,121575.84768184763,617400
Northern Cape,2012-2013,131460.06294053444,675300
Northern Cape,2013-2014,124046.90149651933,663700
Northern Cape,2014-2015,122317.16382624915,679000
Northern Cape,2015-2016,132819.14253860386,710000
Northern Cape,2016-2017,119846.11001157745,712200
Northern Cape,2017-2018,115151.1077637012,669300
Northern Cape,2018-2019,115892.42390810272,670250
Western Cape,1998-1999,2471.0538146717,7500
Western Cape,1999-2000,3558.317493127248,8440
Western Cape,2000-2001,3471.830609613738,8640
Western Cape,2001-2002,5139.791934517136,14480
Western Cape,2002-2003,7536.714134748684,20700
Western Cape,2003-2004,5189.213010810569,14600
Western Cape,2004-2005,4942.1076293434,20000
Western Cape,2005-2006,6671.845299613589,27000
Western Cape,2006-2007,5016.239243783551,20300
Western Cape,2007-2008,9884.2152586868,40000
Western Cape,2008-2009,12355.269073358499,50000
Western Cape,2009-2010,6177.634536679249,17500
Western Cape,2010-2011,56834.2377374491,14400
Western Cape,2011-2012,7413.1614440151,30000
Western Cape,2012-2013,8154.477588416609,33000
Western Cape,2013-2014,8648.68835135095,33000
Western Cape,2014-2015,10501.978712354725,38250
Western Cape,2015-2016,11119.74216602265,45000
Western Cape,2016-2017,5436.31839227774,22000
Western Cape,2017-2018,9266.451805018874,33750
Western Cape,2018-2019,9390.004495752459,34200
