Year,Area Planted (acres),Harvested (tons)
1998-1999,7177670.015,6715500
1999-2000,7982591.085,10140940
2000-2001,6691378.98,7225140
2001-2002,7454872.832,9731830
2002-2003,7870182.847,9391450
2003-2004,7025947.311,9482000
2004-2005,6943661.219,11450000
2005-2006,3954180.314,6618000
2006-2007,6305635.124,7125000
2007-2008,6916479.627,12700000
2008-2009,5998483.135,12050000
2009-2010,6776617.981,12815000
2010-2011,5862080.965,10360000
2011-2012,6669868.457,12120656
2012-2013,6872494.869,11810600
2013-2014,6642686.865,14250000
2014-2015,6555335.112,9955000
2015-2016,4810524.014,7778500
2016-2017,6495412.057,16820000
2017-2018,5730003.138,12510000
2018-2019,5684659.301,11275000
