Year,Area Planted (acres),Harvested (tons)
1998-1999,0.0,0
1999-2000,214.98168187643788,130
2000-2001,247.10538146717,200
2001-2002,370.658072200755,323
2002-2003,123.552690733585,150
2003-2004,222.394843320453,120
2004-2005,988.42152586868,800
2005-2006,1235.52690733585,750
2006-2007,1235.52690733585,1000
2007-2008,1235.52690733585,750
2008-2009,1976.84305173736,1600
2009-2010,1976.84305173736,1200
2010-2011,2471.0538146717,1500
2011-2012,1235.52690733585,750
2012-2013,1235.52690733585,750
2013-2014,4942.1076293434,3600
2014-2015,3706.58072200755,2100
2015-2016,3706.58072200755,2100
2016-2017,4571.449557142645,2775
2017-2018,5930.52915521208,2900
2018-2019,2841.7118868724547,1380
