Year,Area Planted (acres),Harvested (tons)
1998-1999,19768.4305173736,10000
1999-2000,17297.3767027019,11200
2000-2001,49421.076293433995,24000
2001-2002,42007.9148494189,20400
2002-2003,37560.017983009835,17500
2003-2004,53127.657015441546,29000
2004-2005,50656.603200769845,30000
2005-2006,111197.4216602265,77000
2006-2007,111197.4216602265,33750
2007-2008,118610.5831042416,64500
2008-2009,135907.9598069435,99000
2009-2010,234750.1123938115,151950
2010-2011,333592.2649806795,190000
2011-2012,432434.41756754747,192500
2012-2013,531276.5701544154,249500
2013-2014,496681.8167490117,352000
2014-2015,753671.4134748684,366000
2015-2016,429963.36375287577,148000
2016-2017,593052.915521208,504000
2017-2018,852513.5660617364,552000
2018-2019,743787.1982161816,391300
