Year,Area Planted (acres),Harvested (tons)
1998-1999,12355.269073358499,6000
1999-2000,6671.845299613589,4050
2000-2001,8648.68835135095,4550
2001-2002,13590.795980694349,9075
2002-2003,9884.2152586868,5850
2003-2004,12355.269073358499,7800
2004-2005,12355.269073358499,9200
2005-2006,16061.849795366048,10730
2006-2007,12355.269073358499,4150
2007-2008,8401.582969883779,5500
2008-2009,16556.06055830039,12525
2009-2010,29652.6457760604,20400
2010-2011,34594.7534054038,21700
2011-2012,46950.022478762294,28500
2012-2013,49421.076293433995,34000
2013-2014,49421.076293433995,47360
2014-2015,74131.614440151,69000
2015-2016,56834.2377374491,50600
2016-2017,62764.76689266117,71120
2017-2018,74131.614440151,61500
2018-2019,77838.19516215855,66150
