Year,Area Planted (acres),Harvested (tons)
1998-1999,74131.614440151,55500
1999-2000,49421.076293433995,38000
2000-2001,63753.188418529855,54180
2001-2002,44478.9686640906,37800
2002-2003,33482.779188801534,22000
2003-2004,46950.022478762294,36100
2004-2005,42007.9148494189,39270
2005-2006,61776.3453667925,62500
2006-2007,50656.603200769845,45100
2007-2008,43243.44175675475,44000
2008-2009,66718.4529961359,75600
2009-2010,74131.614440151,73500
2010-2011,84015.8296988378,92000
2011-2012,84015.8296988378,81600
2012-2013,79073.7220694944,82000
2013-2014,86486.8835135095,98000
2014-2015,103784.26021621139,102900
2015-2016,69189.5068108076,66000
2016-2017,75367.14134748685,89605
2017-2018,98842.15258686799,124000
2018-2019,81544.7758841661,99000
