Year,Area Planted (acres),Harvested (tons)
1998-1999,9884.2152586868,10000
1999-2000,8895.79373281812,10800
2000-2001,16061.849795366048,20800
2001-2002,22239.4843320453,24300
2002-2003,12849.47983629284,13700
2003-2004,11663.374005250424,10400
2004-2005,24710.538146716997,27360
2005-2006,32123.699590732096,34450
2006-2007,30888.17268339625,25000
2007-2008,18532.90361003775,22500
2008-2009,39536.8610347472,44000
2009-2010,44478.9686640906,50400
2010-2011,58069.76464478495,58800
2011-2012,54363.183922777396,50600
2012-2013,49421.076293433995,53500
2013-2014,54363.183922777396,66000
2014-2015,59305.2915521208,72000
2015-2016,39536.8610347472,38400
2016-2017,21003.95742470945,29750
2017-2018,49421.076293433995,54000
2018-2019,40031.071797681536,46980
