Year,Area Planted (acres),Harvested (tons)
1998-1999,185329.03610037747,75000
1999-2000,135907.9598069435,71500
2000-2001,177915.8746563624,93600
2001-2002,172973.767027019,101500
2002-2003,148263.228880302,72200
2003-2004,181622.45537836992,110115
2004-2005,207568.52043242278,136650
2005-2006,345947.534054038,210000
2006-2007,222394.843320453,76500
2007-2008,202626.41280307938,128000
2008-2009,308881.7268339625,262500
2009-2010,358302.8031273965,239600
2010-2011,469500.224787623,294500
2011-2012,494210.76293434,263050
2012-2013,506566.03200769844,335000
2013-2014,501623.9243783551,335000
2014-2015,605408.1845945665,389900
2015-2016,593052.915521208,408000
2016-2017,595523.9693358797,554300
2017-2018,766026.6825482269,672700
2018-2019,766026.6825482269,511500
