Year,Area Planted (acres),Harvested (tons)
1998-1999,1235.52690733585,1300
1999-2000,988.42152586868,1040
2000-2001,617.763453667925,675
2001-2002,0.0,0
2002-2003,0.0,0
2003-2004,395.368610347472,375
2004-2005,247.10538146717,300
2005-2006,1235.52690733585,1500
2006-2007,1235.52690733585,1500
2007-2008,1235.52690733585,1750
2008-2009,1853.290361003775,2250
2009-2010,1606.184979536605,1950
2010-2011,1235.52690733585,1500
2011-2012,1235.52690733585,1500
2012-2013,4942.1076293434,7000
2013-2014,9637.10987721963,14040
2014-2015,9884.2152586868,14000
2015-2016,9884.2152586868,13600
2016-2017,7413.1614440151,10500
2017-2018,7413.1614440151,10500
2018-2019,3830.1334127411346,5425
