Year,Area Planted (acres),Harvested (tons)
1998-1999,19768.4305173736,17000
1999-2000,12355.269073358499,12000
2000-2001,14826.3228880302,11700
2001-2002,11119.74216602265,9000
2002-2003,5065.660320076985,5000
2003-2004,27181.591961388698,26000
2004-2005,31777.75205667806,28500
2005-2006,24710.538146716997,27000
2006-2007,22239.4843320453,18000
2007-2008,14826.3228880302,15000
2008-2009,16061.849795366048,18525
2009-2010,24710.538146716997,27000
2010-2011,49421.076293433995,50000
2011-2012,51892.130108105695,31500
2012-2013,54363.183922777396,22750
2013-2014,39536.8610347472,32000
2014-2015,86486.8835135095,52500
2015-2016,38301.33412741135,14100
2016-2017,56834.2377374491,52900
2017-2018,88957.9373281812,61200
2018-2019,88957.9373281812,48600
