Year,Area Planted (acres),Harvested (tons)
1998-1999,0.0,0
1999-2000,0.0,0
2000-2001,0.0,0
2001-2002,0.0,0
2002-2003,197.684305173736,120
2003-2004,74.131614440151,90
2004-2005,345.947534054038,420
2005-2006,172.973767027019,70
2006-2007,0.0,0
2007-2008,0.0,0
2008-2009,0.0,0
2009-2010,0.0,0
2010-2011,0.0,0
2011-2012,0.0,0
2012-2013,0.0,0
2013-2014,0.0,0
2014-2015,1976.84305173736,1600
2015-2016,1976.84305173736,1200
2016-2017,1729.73767027019,1050
2017-2018,1976.84305173736,1200
2018-2019,247.10538146717,10
