Year,Area Planted (acres),Harvested (tons)
1998-1999,322472.523,174800
1999-2000,231752.72,148720
2000-2001,331491.869,209705
2001-2002,306781.331,202398
2002-2003,247426.618,136520
2003-2004,333592.265,220000
2004-2005,370658.072,272500
2005-2006,594461.416,424000
2006-2007,452202.848,205000
2007-2008,408712.301,282000
2008-2009,587493.044,516000
2009-2010,769609.711,566000
2010-2011,1032900.49,710000
2011-2012,1166337.4,650000
2012-2013,1276299.3,784500
2013-2014,1242692.96,948000
2014-2015,1698355.29,1070000
2015-2016,1242445.86,742000
2016-2017,1418261.34,1316000
2017-2018,1945213.56,1540000
2018-2019,1805104.81,1170345
