Location,Year,Area Planted (acres),Harvested (tonnes)
Eastern Cape,1998-1999,12355.27,9000
Eastern Cape,1999-2000,9884.2152586868,10300
Eastern Cape,2000-2001,10625.53140308831,14500
Eastern Cape,2001-2002,7166.056062547929,9280
Eastern Cape,2002-2003,8648.68835135095,10675
Eastern Cape,2003-2004,6177.634536679249,8500
Eastern Cape,2004-2005,9884.2152586868,14000
Eastern Cape,2005-2006,9884.2152586868,14500
Eastern Cape,2006-2007,6918.95068108076,8000
Eastern Cape,2007-2008,13590.795980694349,22000
Eastern Cape,2008-2009,12355.269073358499,20000
Eastern Cape,2009-2010,11119.74216602265,18000
Eastern Cape,2010-2011,12355.269073358499,21000
Eastern Cape,2011-2012,11119.74216602265,18500
Eastern Cape,2012-2013,11119.74216602265,19800
Eastern Cape,2013-2014,7413.1614440151,12000
Eastern Cape,2014-2015,7660.266825482269,14880
Eastern Cape,2015-2016,5436.31839227774,11000
Eastern Cape,2016-2017,4695.002247876229,9500
Eastern Cape,2017-2018,4077.2387942083046,10730
Eastern Cape,2018-2019,7660.266825482269,15500
Free State,1998-1999,864868.835,536000
Free State,1999-2000,741316.1444015099,526000
Free State,2000-2001,1094676.839899563,908000
Free State,2001-2002,1111974.216602265,1035000
Free State,2002-2003,1067495.2479381743,756000
Free State,2003-2004,790737.2206949439,480000
Free State,2004-2005,871293.5750532413,510000
Free State,2005-2006,939000.449575246,580000
Free State,2006-2007,889579.373281812,780000
Free State,2007-2008,691895.068108076,560000
Free State,2008-2009,580697.6464478495,622000
Free State,2009-2010,504094.9781930268,378000
Free State,2010-2011,555987.1083011325,550500
Free State,2011-2012,321236.995907321,360000
Free State,2012-2013,222394.843320453,270000
Free State,2013-2014,171738.24011968315,245500
Free State,2014-2015,197684.30517373598,176500
Free State,2015-2016,271815.919613887,308460
Free State,2016-2017,197684.30517373598,336000
Free State,2017-2018,247105.38146717,385000
Free State,2018-2019,316294.8882779776,313600
Gauteng,1998-1999,4942.108,11000
Gauteng,1999-2000,9884.2152586868,17000
Gauteng,2000-2001,12355.269073358499,18000
Gauteng,2001-2002,7413.1614440151,13200
Gauteng,2002-2003,6177.634536679249,12000
Gauteng,2003-2004,4942.1076293434,8600
Gauteng,2004-2005,6177.634536679249,14000
Gauteng,2005-2006,6177.634536679249,14000
Gauteng,2006-2007,4942.1076293434,10000
Gauteng,2007-2008,4942.1076293434,12800
Gauteng,2008-2009,4942.1076293434,12800
Gauteng,2009-2010,3706.58072200755,9600
Gauteng,2010-2011,4200.791484941889,11300
Gauteng,2011-2012,3706.58072200755,8420
Gauteng,2012-2013,2471.0538146717,6200
Gauteng,2013-2014,1408.500674362869,3550
Gauteng,2014-2015,617.763453667925,1500
Gauteng,2015-2016,901.9346423551705,2190
Gauteng,2016-2017,1729.73767027019,4200
Gauteng,2017-2018,2965.26457760604,7800
Gauteng,2018-2019,3459.47534054038,8400
KwaZulu-Natal,1998-1999,12355.27,20000
KwaZulu-Natal,1999-2000,14826.3228880302,36200
KwaZulu-Natal,2000-2001,21498.168187643787,43700
KwaZulu-Natal,2001-2002,27181.591961388698,50600
KwaZulu-Natal,2002-2003,21251.06280617662,40420
KwaZulu-Natal,2003-2004,17297.3767027019,31900
KwaZulu-Natal,2004-2005,16308.955176833219,34000
KwaZulu-Natal,2005-2006,22239.4843320453,41500
KwaZulu-Natal,2006-2007,17297.3767027019,31000
KwaZulu-Natal,2007-2008,18532.90361003775,38200
KwaZulu-Natal,2008-2009,17297.3767027019,35000
KwaZulu-Natal,2009-2010,15073.428269497368,30500
KwaZulu-Natal,2010-2011,18532.90361003775,40500
KwaZulu-Natal,2011-2012,16061.849795366048,32500
KwaZulu-Natal,2012-2013,17297.3767027019,42000
KwaZulu-Natal,2013-2014,16061.849795366048,39000
KwaZulu-Natal,2014-2015,18038.692847103408,41000
KwaZulu-Natal,2015-2016,16061.849795366048,37050
KwaZulu-Natal,2016-2017,18532.90361003775,45750
KwaZulu-Natal,2017-2018,17297.3767027019,43400
KwaZulu-Natal,2018-2019,18532.90361003775,45750
Limpopo,1998-1999,22239.48,35000
Limpopo,1999-2000,19768.4305173736,50700
Limpopo,2000-2001,37065.8072200755,75000
Limpopo,2001-2002,37065.8072200755,46500
Limpopo,2002-2003,33359.22649806795,54000
Limpopo,2003-2004,19768.4305173736,35000
Limpopo,2004-2005,38301.33412741135,63000
Limpopo,2005-2006,27181.591961388698,50000
Limpopo,2006-2007,44478.9686640906,81000
Limpopo,2007-2008,49421.076293433995,110000
Limpopo,2008-2009,44478.9686640906,99000
Limpopo,2009-2010,30888.17268339625,65000
Limpopo,2010-2011,76602.6682548227,176000
Limpopo,2011-2012,74131.614440151,141000
Limpopo,2012-2013,69189.5068108076,146000
Limpopo,2013-2014,67953.97990347174,137500
Limpopo,2014-2015,66718.4529961359,144420
Limpopo,2015-2016,42007.9148494189,103700
Limpopo,2016-2017,49421.076293433995,132000
Limpopo,2017-2018,49421.076293433995,128000
Limpopo,2018-2019,49421.076293433995,118000
Mpumalanga,1998-1999,22239.48,47000
Mpumalanga,1999-2000,27181.591961388698,69100
Mpumalanga,2000-2001,49421.076293433995,102000
Mpumalanga,2001-2002,50656.603200769845,102500
Mpumalanga,2002-2003,54363.183922777396,113300
Mpumalanga,2003-2004,22239.4843320453,36000
Mpumalanga,2004-2005,38795.544890345685,80000
Mpumalanga,2005-2006,44478.9686640906,92000
Mpumalanga,2006-2007,37065.8072200755,77000
Mpumalanga,2007-2008,19768.4305173736,45000
Mpumalanga,2008-2009,18532.90361003775,41200
Mpumalanga,2009-2010,11119.74216602265,23400
Mpumalanga,2010-2011,13590.795980694349,34200
Mpumalanga,2011-2012,11613.95292895699,25380
Mpumalanga,2012-2013,11119.74216602265,28000
Mpumalanga,2013-2014,8648.68835135095,21350
Mpumalanga,2014-2015,8648.68835135095,19500
Mpumalanga,2015-2016,5683.423773744909,13800
Mpumalanga,2016-2017,9884.2152586868,25400
Mpumalanga,2017-2018,8648.68835135095,22740
Mpumalanga,2018-2019,9884.2152586868,25200
North-West,1998-1999,79073.722,133000
North-West,1999-2000,79073.7220694944,137200
North-West,2000-2001,90193.46423551704,171550
North-West,2001-2002,81544.7758841661,161700
North-West,2002-2003,64247.39918146419,123500
North-West,2003-2004,64247.39918146419,130000
North-West,2004-2005,69189.5068108076,145000
North-West,2005-2006,74131.614440151,162000
North-West,2006-2007,69189.5068108076,138000
North-West,2007-2008,61776.3453667925,150000
North-West,2008-2009,59305.2915521208,136800
North-West,2009-2010,54363.183922777396,123200
North-West,2010-2011,54363.183922777396,125500
North-West,2011-2012,49421.076293433995,114000
North-West,2012-2013,45714.49557142644,110000
North-West,2013-2014,44478.9686640906,107100
North-West,2014-2015,37065.8072200755,85500
North-West,2015-2016,29652.6457760604,69600
North-West,2016-2017,33359.22649806795,83700
North-West,2017-2018,34594.7534054038,85330
North-West,2018-2019,33359.22649806795,78975
Northern Cape,1998-1999,88957.937,205000
Northern Cape,1999-2000,106255.31403088309,287000
Northern Cape,2000-2001,138379.0136216152,324800
Northern Cape,2001-2002,123552.690733585,270000
Northern Cape,2002-2003,123552.690733585,272500
Northern Cape,2003-2004,119846.11001157745,280000
Northern Cape,2004-2005,126270.84992972386,300000
Northern Cape,2005-2006,119846.11001157745,306000
Northern Cape,2006-2007,98842.15258686799,250000
Northern Cape,2007-2008,123552.690733585,332000
Northern Cape,2008-2009,108726.36784555479,277200
Northern Cape,2009-2010,93900.04495752459,252300
Northern Cape,2010-2011,103784.26021621139,336000
Northern Cape,2011-2012,103784.26021621139,272600
Northern Cape,2012-2013,103784.26021621139,320000
Northern Cape,2013-2014,93900.04495752459,285000
Northern Cape,2014-2015,88957.9373281812,259200
Northern Cape,2015-2016,86486.8835135095,266000
Northern Cape,2016-2017,93900.04495752459,311650
Northern Cape,2017-2018,93900.04495752459,294500
Northern Cape,2018-2019,92664.51805018874,262500
Western Cape,1998-1999,741316.144,535000
Western Cape,1999-2000,766026.6825482269,591500
Western Cape,2000-2001,853749.0929690723,691000
Western Cape,2001-2002,924174.1266872158,804100
Western Cape,2002-2003,946413.6110192611,938350
Western Cape,2003-2004,803092.4897683024,530000
Western Cape,2004-2005,874753.0503937817,520000
Western Cape,2005-2006,746258.2520308533,645000
Western Cape,2006-2007,721547.7138841363,730000
Western Cape,2007-2008,864868.8351350949,860000
Western Cape,2008-2009,741316.1444015099,714000
Western Cape,2009-2010,654829.2608880005,530000
Western Cape,2010-2011,654829.2608880005,710000
Western Cape,2011-2012,672126.6375907024,897600
Western Cape,2012-2013,766026.6825482269,928000
Western Cape,2013-2014,766026.6825482269,899000
Western Cape,2014-2015,766026.6825482269,697500
Western Cape,2015-2016,798150.382138959,1098200
Western Cape,2016-2017,805563.5435829741,586800
Western Cape,2017-2018,785795.1130656005,890500
Western Cape,2018-2019,803092.4897683024,633750
