Year,Area Planted (acres),Harvested (tons)
1998-1999,12355.27,9000
1999-2000,9884.2152586868,10300
2000-2001,10625.53140308831,14500
2001-2002,7166.056062547929,9280
2002-2003,8648.68835135095,10675
2003-2004,6177.634536679249,8500
2004-2005,9884.2152586868,14000
2005-2006,9884.2152586868,14500
2006-2007,6918.95068108076,8000
2007-2008,13590.795980694349,22000
2008-2009,12355.269073358499,20000
2009-2010,11119.74216602265,18000
2010-2011,12355.269073358499,21000
2011-2012,11119.74216602265,18500
2012-2013,11119.74216602265,19800
2013-2014,7413.1614440151,12000
2014-2015,7660.266825482269,14880
2015-2016,5436.31839227774,11000
2016-2017,4695.002247876229,9500
2017-2018,4077.2387942083046,10730
2018-2019,7660.266825482269,15500
