Year,Area Planted (acres),Harvested (tons)
1998-1999,864868.835,536000
1999-2000,741316.1444015099,526000
2000-2001,1094676.839899563,908000
2001-2002,1111974.216602265,1035000
2002-2003,1067495.2479381743,756000
2003-2004,790737.2206949439,480000
2004-2005,871293.5750532413,510000
2005-2006,939000.449575246,580000
2006-2007,889579.373281812,780000
2007-2008,691895.068108076,560000
2008-2009,580697.6464478495,622000
2009-2010,504094.9781930268,378000
2010-2011,555987.1083011325,550500
2011-2012,321236.995907321,360000
2012-2013,222394.843320453,270000
2013-2014,171738.24011968315,245500
2014-2015,197684.30517373598,176500
2015-2016,271815.919613887,308460
2016-2017,197684.30517373598,336000
2017-2018,247105.38146717,385000
2018-2019,316294.8882779776,313600
