Year,Area Planted (acres),Harvested (tons)
1998-1999,4942.108,11000
1999-2000,9884.2152586868,17000
2000-2001,12355.269073358499,18000
2001-2002,7413.1614440151,13200
2002-2003,6177.634536679249,12000
2003-2004,4942.1076293434,8600
2004-2005,6177.634536679249,14000
2005-2006,6177.634536679249,14000
2006-2007,4942.1076293434,10000
2007-2008,4942.1076293434,12800
2008-2009,4942.1076293434,12800
2009-2010,3706.58072200755,9600
2010-2011,4200.791484941889,11300
2011-2012,3706.58072200755,8420
2012-2013,2471.0538146717,6200
2013-2014,1408.500674362869,3550
2014-2015,617.763453667925,1500
2015-2016,901.9346423551705,2190
2016-2017,1729.73767027019,4200
2017-2018,2965.26457760604,7800
2018-2019,3459.47534054038,8400
