Year,Area Planted (acres),Harvested (tons)
1998-1999,12355.27,20000
1999-2000,14826.3228880302,36200
2000-2001,21498.168187643787,43700
2001-2002,27181.591961388698,50600
2002-2003,21251.06280617662,40420
2003-2004,17297.3767027019,31900
2004-2005,16308.955176833219,34000
2005-2006,22239.4843320453,41500
2006-2007,17297.3767027019,31000
2007-2008,18532.90361003775,38200
2008-2009,17297.3767027019,35000
2009-2010,15073.428269497368,30500
2010-2011,18532.90361003775,40500
2011-2012,16061.849795366048,32500
2012-2013,17297.3767027019,42000
2013-2014,16061.849795366048,39000
2014-2015,18038.692847103408,41000
2015-2016,16061.849795366048,37050
2016-2017,18532.90361003775,45750
2017-2018,17297.3767027019,43400
2018-2019,18532.90361003775,45750
