Year,Area Planted (acres),Harvested (tons)
1998-1999,22239.48,35000
1999-2000,19768.4305173736,50700
2000-2001,37065.8072200755,75000
2001-2002,37065.8072200755,46500
2002-2003,33359.22649806795,54000
2003-2004,19768.4305173736,35000
2004-2005,38301.33412741135,63000
2005-2006,27181.591961388698,50000
2006-2007,44478.9686640906,81000
2007-2008,49421.076293433995,110000
2008-2009,44478.9686640906,99000
2009-2010,30888.17268339625,65000
2010-2011,76602.6682548227,176000
2011-2012,74131.614440151,141000
2012-2013,69189.5068108076,146000
2013-2014,67953.97990347174,137500
2014-2015,66718.4529961359,144420
2015-2016,42007.9148494189,103700
2016-2017,49421.076293433995,132000
2017-2018,49421.076293433995,128000
2018-2019,49421.076293433995,118000
