Year,Area Planted (acres),Harvested (tons)
1998-1999,22239.48,47000
1999-2000,27181.591961388698,69100
2000-2001,49421.076293433995,102000
2001-2002,50656.603200769845,102500
2002-2003,54363.183922777396,113300
2003-2004,22239.4843320453,36000
2004-2005,38795.544890345685,80000
2005-2006,44478.9686640906,92000
2006-2007,37065.8072200755,77000
2007-2008,19768.4305173736,45000
2008-2009,18532.90361003775,41200
2009-2010,11119.74216602265,23400
2010-2011,13590.795980694349,34200
2011-2012,11613.95292895699,25380
2012-2013,11119.74216602265,28000
2013-2014,8648.68835135095,21350
2014-2015,8648.68835135095,19500
2015-2016,5683.423773744909,13800
2016-2017,9884.2152586868,25400
2017-2018,8648.68835135095,22740
2018-2019,9884.2152586868,25200
