Year,Area Planted (acres),Harvested (tons)
1998-1999,88957.937,205000
1999-2000,106255.31403088309,287000
2000-2001,138379.0136216152,324800
2001-2002,123552.690733585,270000
2002-2003,123552.690733585,272500
2003-2004,119846.11001157745,280000
2004-2005,126270.84992972386,300000
2005-2006,119846.11001157745,306000
2006-2007,98842.15258686799,250000
2007-2008,123552.690733585,332000
2008-2009,108726.36784555479,277200
2009-2010,93900.04495752459,252300
2010-2011,103784.26021621139,336000
2011-2012,103784.26021621139,272600
2012-2013,103784.26021621139,320000
2013-2014,93900.04495752459,285000
2014-2015,88957.9373281812,259200
2015-2016,86486.8835135095,266000
2016-2017,93900.04495752459,311650
2017-2018,93900.04495752459,294500
2018-2019,92664.51805018874,262500
