Year,Area Planted (acres),Harvested (tons)
1998-1999,79073.722,133000
1999-2000,79073.7220694944,137200
2000-2001,90193.46423551704,171550
2001-2002,81544.7758841661,161700
2002-2003,64247.39918146419,123500
2003-2004,64247.39918146419,130000
2004-2005,69189.5068108076,145000
2005-2006,74131.614440151,162000
2006-2007,69189.5068108076,138000
2007-2008,61776.3453667925,150000
2008-2009,59305.2915521208,136800
2009-2010,54363.183922777396,123200
2010-2011,54363.183922777396,125500
2011-2012,49421.076293433995,114000
2012-2013,45714.49557142644,110000
2013-2014,44478.9686640906,107100
2014-2015,37065.8072200755,85500
2015-2016,29652.6457760604,69600
2016-2017,33359.22649806795,83700
2017-2018,34594.7534054038,85330
2018-2019,33359.22649806795,78975
