Year,Area Planted (acres),Harvested (tons)
1998-1999,1848348.25,1531000
1999-2000,1774216.64,1561000
2000-2001,2307964.26,2348550
2001-2002,2370729.03,2492880
2002-2003,2325508.74,2320745
2003-2004,1848348.25,1540000
2004-2005,2050974.67,1680000
2005-2006,1989198.32,1905000
2006-2007,1889861.96,2105000
2007-2008,1561706.01,1843900
2008-2009,1848348.25,2130000
2009-2010,1587652.08,1958000
2010-2011,1379095.13,1430000
2011-2012,1494246.24,2005000
2012-2013,1263202.71,1870000
2013-2014,1249117.7,1870000
2014-2015,1177630.12,1750000
2015-2016,1191418.6,1440000
2016-2017,1256197.27,1910000
2017-2018,1214770.06,1535000
2018-2019,1243804.94,1868000
2019-2020,1334369.06,1535000
