Year,Area Planted (acres),Harvested (tons)
1998-1999,741316.144,535000
1999-2000,766026.6825482269,591500
2000-2001,853749.0929690723,691000
2001-2002,924174.1266872158,804100
2002-2003,946413.6110192611,938350
2003-2004,803092.4897683024,530000
2004-2005,874753.0503937817,520000
2005-2006,746258.2520308533,645000
2006-2007,721547.7138841363,730000
2007-2008,864868.8351350949,860000
2008-2009,741316.1444015099,714000
2009-2010,654829.2608880005,530000
2010-2011,654829.2608880005,710000
2011-2012,672126.6375907024,897600
2012-2013,766026.6825482269,928000
2013-2014,766026.6825482269,899000
2014-2015,766026.6825482269,697500
2015-2016,798150.382138959,1098200
2016-2017,805563.5435829741,586800
2017-2018,785795.1130656005,890500
2018-2019,803092.4897683024,633750
